Unnamed: 0,cipher_suites,source_port,dest_port,source_ip,dest_ip,source_mac,dest_mac,flow_duration,start_time,end_time,flow_rate,flow_volume,domain,sleep_time
t11,,49153,4432,192.168.1.223,192.168.1.193,ec:1a:59:79:f4:89,ec:1a:59:83:28:11,0.037492036819458,1474552808.017202,1474552808.054694,373.4126280579703,4740,d3gjecg2uu2eaq.cloudfront.net,21.2086563292827
t12,,49152,4981,192.168.1.249,192.168.1.193,00:16:6c:ab:6b:88,ec:1a:59:83:28:11,0.039374828338623,1474552808.021192,1474552808.060567,253.9693611867999,2032,d3gjecg2uu2eaq.cloudfront.net,53.05976975826254
t13,,49152,4982,192.168.1.249,192.168.1.193,00:16:6c:ab:6b:88,ec:1a:59:83:28:11,0.052088975906372,1474552808.022188,1474552808.074277,211.1771216192093,2098,d3gjecg2uu2eaq.cloudfront.net,53.05976975826254
t14,,49153,4436,192.168.1.223,192.168.1.193,ec:1a:59:79:f4:89,ec:1a:59:83:28:11,0.0268568992614746,1474552808.238943,1474552808.2658,372.3438027093727,1066,d3gjecg2uu2eaq.cloudfront.net,21.2086563292827
t15,,49154,3629,192.168.1.193,192.168.1.223,ec:1a:59:83:28:11,ec:1a:59:79:f4:89,0.0511279106140136,1474552808.259243,1474552808.310371,234.7054643126941,1320,d3gjecg2uu2eaq.cloudfront.net,121.8160893684146
t16,,49154,3630,192.168.1.193,192.168.1.223,ec:1a:59:83:28:11,ec:1a:59:79:f4:89,0.0571570396423339,1474552808.259323,1474552808.31648,227.4435499345108,1394,d3gjecg2uu2eaq.cloudfront.net,121.8160893684146
t17,,4438,49153,192.168.1.193,192.168.1.223,ec:1a:59:83:28:11,ec:1a:59:79:f4:89,1.0278711318969729,1474552808.264083,1474552809.291954,10.701730653432312,1134,d3gjecg2uu2eaq.cloudfront.net,121.8160893684146
t18,,49153,4439,192.168.1.223,192.168.1.193,ec:1a:59:79:f4:89,ec:1a:59:83:28:11,0.0483901500701904,1474552808.265523,1474552808.313913,289.3150771322852,4740,d3gjecg2uu2eaq.cloudfront.net,21.2086563292827
t19,,49153,4440,192.168.1.223,192.168.1.193,ec:1a:59:79:f4:89,ec:1a:59:83:28:11,0.0448589324951171,1474552808.28625,1474552808.331109,312.08945958586673,4740,d3gjecg2uu2eaq.cloudfront.net,21.2086563292827
t20,,49154,3631,192.168.1.193,192.168.1.223,ec:1a:59:83:28:11,ec:1a:59:79:f4:89,0.0424389839172363,1474552808.288059,1474552808.330498,282.7588903495466,1320,d3gjecg2uu2eaq.cloudfront.net,121.8160893684146
t21,,3632,49154,192.168.1.223,192.168.1.193,ec:1a:59:79:f4:89,ec:1a:59:83:28:11,0.0490329265594482,1474552808.28812,1474552808.337153,244.7335054629265,1413,d3gjecg2uu2eaq.cloudfront.net,21.2086563292827
t22,,49154,3633,192.168.1.193,192.168.1.223,ec:1a:59:83:28:11,ec:1a:59:79:f4:89,0.011549949645996,1474552809.292218,1474552809.303768,1125.5460325324086,1459,d3gjecg2uu2eaq.cloudfront.net,121.8160893684146
t23,0xc030|0xc02c|0xc028|0xc024|0xc014|0xc00a|0x00a5|0x00a3|0x00a1|0x009f|0x006b|0x006a|0x0069|0x0068|0x0039|0x0038|0x0037|0x0036|0x0088|0x0087|0x0086|0x0085|0xc032|0xc02e|0xc02a|0xc026|0xc00f|0xc005|0x009d|0x003d|0x0035|0x0084|0xc02f|0xc02b|0xc027|0xc023|0xc013|0xc009|0x00a4|0x00a2|0x00a0|0x009e|0x0067|0x0040|0x003f|0x003e|0x0033|0x0032|0x0031|0x0030|0x009a|0x0099|0x0098|0x0097|0x0045|0x0044|0x0043|0x0042|0xc031|0xc02d|0xc029|0xc025|0xc00e|0xc004|0x009c|0x003c|0x002f|0x0096|0x0041|0x0007|0xc011|0xc007|0xc00c|0xc002|0x0005|0x0004|0xc012|0xc008|0x0016|0x0013|0x0010|0x000d|0xc00d|0xc003|0x000a|0x0015|0x0012|0x000f|0x000c|0x0009|0x00ff,46369,443,192.168.1.240,54.239.29.231,44:65:0d:56:cc:d3,14:cc:20:51:33:ea,989.2265100479126,1474552820.901075,1474553810.127585,0.1667969856489271,12592,,86.60906642968537
t27,,50623,5222,192.168.1.249,54.183.55.84,00:16:6c:ab:6b:88,14:cc:20:51:33:ea,21262.165112018585,1474552822.795464,1474574084.960576,0.1091610373530604,358734,,53.05976975826254
t29,,5223,23596,15.72.162.53,192.168.1.236,14:cc:20:51:33:ea,70:5a:0f:e4:9b:c0,21147.39932394028,1474552869.762944,1474574017.162268,0.0269536689248933,59799,,19.65587708296208
t31,,41779,80,192.168.1.166,89.30.121.150,00:24:e4:11:18:a8,14:cc:20:51:33:ea,1.136368989944458,1474552892.342724,1474552893.479093,11.43994610468506,3002,,254.7380736965731
t32,,3186,3478,192.168.1.193,174.129.217.97,ec:1a:59:83:28:11,14:cc:20:51:33:ea,21084.29972505569,1474552920.010196,1474574004.309921,0.0116674493916278,34500,,121.8160893684146
t33,,41354,80,192.168.1.240,93.184.216.34,44:65:0d:56:cc:d3,14:cc:20:51:33:ea,0.2984371185302734,1474552945.734407,1474552946.032844,20.104737740226373,412,,86.60906642968537
t34,,41355,80,192.168.1.240,93.184.216.34,44:65:0d:56:cc:d3,14:cc:20:51:33:ea,0.3074319362640381,1474552945.911873,1474552946.219305,19.51651501438971,412,,86.60906642968537
t35,,41356,80,192.168.1.240,93.184.216.34,44:65:0d:56:cc:d3,14:cc:20:51:33:ea,0.2977681159973144,1474552946.085677,1474552946.383445,20.14990752083784,412,,86.60906642968537
t36,,49152,4036,192.168.1.249,192.168.1.193,00:16:6c:ab:6b:88,ec:1a:59:83:28:11,0.0358529090881347,1474552965.192043,1474552965.227896,306.8091343148599,2098,d3gjecg2uu2eaq.cloudfront.net,53.05976975826254
t37,,49153,3374,192.168.1.223,192.168.1.193,ec:1a:59:79:f4:89,ec:1a:59:83:28:11,0.0415019989013671,1474552965.194582,1474552965.236084,337.33314950135576,4740,d3gjecg2uu2eaq.cloudfront.net,21.2086563292827
t38,,49153,3376,192.168.1.223,192.168.1.193,ec:1a:59:79:f4:89,ec:1a:59:83:28:11,0.0392661094665527,1474552965.214484,1474552965.25375,356.5415619269676,4740,d3gjecg2uu2eaq.cloudfront.net,21.2086563292827
t39,,49152,4041,192.168.1.249,192.168.1.193,00:16:6c:ab:6b:88,ec:1a:59:83:28:11,0.0251400470733642,1474552965.431619,1474552965.456759,397.77172933756935,2032,d3gjecg2uu2eaq.cloudfront.net,53.05976975826254
t40,,49153,3379,192.168.1.223,192.168.1.193,ec:1a:59:79:f4:89,ec:1a:59:83:28:11,0.0284130573272705,1474552965.432834,1474552965.461247,492.7312058939525,4740,d3gjecg2uu2eaq.cloudfront.net,21.2086563292827
t41,,49153,3381,192.168.1.223,192.168.1.193,ec:1a:59:79:f4:89,ec:1a:59:83:28:11,0.0627920627593994,1474552965.437146,1474552965.499938,222.95811579950563,4740,d3gjecg2uu2eaq.cloudfront.net,21.2086563292827
t42,0xc014|0xc00a|0x0039|0x0038|0x0088|0x0087|0xc00f|0xc005|0x0035|0x0084|0xc013|0xc009|0x0033|0x0032|0x009a|0x0099|0x0045|0x0044|0xc00e|0xc004|0x002f|0x0096|0x0041|0x0007|0xc011|0xc007|0xc00c|0xc002|0x0005|0x0004|0xc012|0xc008|0x0016|0x0013|0xc00d|0xc003|0x000a|0x0015|0x0012|0x0009|0x0014|0x0011|0x0008|0x0006|0x0003|0x00ff,38677,50443,192.168.1.227,52.220.62.189,50:c7:bf:00:56:39,14:cc:20:51:33:ea,3994.383847951889,1474553006.66915,1474557001.052998,0.0160224961937035,8340,,5620.237317959468
t43,,8090,57244,188.165.38.151,192.168.1.120,14:cc:20:51:33:ea,18:b7:9e:02:20:44,20923.36160492897,1474553010.975011,1474573934.336616,0.0070734331697988,9768,sip.invoxia.com,19.65587708296208
t44,,4287,3478,192.168.1.223,174.129.217.97,ec:1a:59:79:f4:89,14:cc:20:51:33:ea,20819.49592494965,1474553048.431103,1474573867.927028,0.0115276566188324,33624,,21.2086563292827
t46,,49152,4047,192.168.1.249,192.168.1.193,00:16:6c:ab:6b:88,ec:1a:59:83:28:11,0.0222680568695068,1474553105.389504,1474553105.411772,449.0737588196876,2032,d3gjecg2uu2eaq.cloudfront.net,53.05976975826254
t47,,49152,4048,192.168.1.249,192.168.1.193,00:16:6c:ab:6b:88,ec:1a:59:83:28:11,0.0315470695495605,1474553105.392238,1474553105.423785,316.9866533653773,2032,d3gjecg2uu2eaq.cloudfront.net,53.05976975826254
t48,,49153,3388,192.168.1.223,192.168.1.193,ec:1a:59:79:f4:89,ec:1a:59:83:28:11,0.0371139049530029,1474553105.607582,1474553105.644696,377.2171108841309,4740,d3gjecg2uu2eaq.cloudfront.net,21.2086563292827
t49,,49153,3389,192.168.1.223,192.168.1.193,ec:1a:59:79:f4:89,ec:1a:59:83:28:11,0.0443129539489746,1474553105.608716,1474553105.653029,315.9347042429329,4740,d3gjecg2uu2eaq.cloudfront.net,21.2086563292827
t50,,49153,3390,192.168.1.223,192.168.1.193,ec:1a:59:79:f4:89,ec:1a:59:83:28:11,0.0277109146118164,1474553105.672857,1474553105.700568,505.21609250782944,4740,d3gjecg2uu2eaq.cloudfront.net,21.2086563292827
t51,,49153,3391,192.168.1.223,192.168.1.193,ec:1a:59:79:f4:89,ec:1a:59:83:28:11,0.0309031009674072,1474553105.672936,1474553105.703839,453.02896996535947,4740,d3gjecg2uu2eaq.cloudfront.net,21.2086563292827
t52,0xc030|0xc02c|0xc028|0xc024|0xc014|0xc00a|0xc022|0xc021|0x00a3|0x009f|0x006b|0x006a|0x0039|0x0038|0x0088|0x0087|0xc032|0xc02e|0xc02a|0xc026|0xc00f|0xc005|0x009d|0x003d|0x0035|0x0084|0xc012|0xc008|0xc01c|0xc01b|0x0016|0x0013|0xc00d|0xc003|0x000a|0xc02f|0xc02b|0xc027|0xc023|0xc013|0xc009|0xc01f|0xc01e|0x00a2|0x009e|0x0067|0x0040|0x0033|0x0032|0x009a|0x0099|0x0045|0x0044|0xc031|0xc02d|0xc029|0xc025|0xc00e|0xc004|0x009c|0x003c|0x002f|0x0096|0x0041|0xc011|0xc007|0xc00c|0xc002|0x0005|0x0004|0x0015|0x0012|0x0009|0x0014|0x0011|0x0008|0x0006|0x0003|0x00ff,59419,443,192.168.1.177,176.31.232.79,e0:76:d0:33:bb:85,14:cc:20:51:33:ea,68.76933097839355,1474553156.167148,1474553224.936479,0.4071582433860995,7537,,770.6718453654537
t53,,80,57341,54.254.227.152,192.168.1.143,14:cc:20:51:33:ea,f4:f2:6d:93:51:f1,0.3635010719299316,1474553183.093392,1474553183.456893,30.26125876767801,1021,aps1-relay.tplinkcloud.com,19.65587708296208
t54,,38972,80,192.168.1.249,104.98.5.24,00:16:6c:ab:6b:88,14:cc:20:51:33:ea,0.2376489639282226,1474553184.180341,1474553184.41799,42.07887059427833,1221,,53.05976975826254
t55,,465,48832,74.125.203.108,192.168.1.249,14:cc:20:51:33:ea,00:16:6c:ab:6b:88,10.934545993804932,1474553184.894459,1474553195.829005,0.7316261694388111,544,smtp.gmail.com,19.65587708296208
t57,,49153,4317,192.168.1.223,192.168.1.193,ec:1a:59:79:f4:89,ec:1a:59:83:28:11,0.0405261516571044,1474553237.616509,1474553237.657035,345.45594455785715,4740,d3gjecg2uu2eaq.cloudfront.net,21.2086563292827
t58,,49153,4318,192.168.1.223,192.168.1.193,ec:1a:59:79:f4:89,ec:1a:59:83:28:11,0.0291681289672851,1474553237.618125,1474553237.647293,479.97593591629885,4740,d3gjecg2uu2eaq.cloudfront.net,21.2086563292827
t59,,49152,3177,192.168.1.249,192.168.1.193,00:16:6c:ab:6b:88,ec:1a:59:83:28:11,3.0047049522399902,1474553237.623505,1474553240.62821,3.660925173967435,2106,d3gjecg2uu2eaq.cloudfront.net,53.05976975826254
t60,,49153,4321,192.168.1.223,192.168.1.193,ec:1a:59:79:f4:89,ec:1a:59:83:28:11,0.0398869514465332,1474553237.632225,1474553237.672112,350.9919783858743,4740,d3gjecg2uu2eaq.cloudfront.net,21.2086563292827
t61,,49152,3180,192.168.1.249,192.168.1.193,00:16:6c:ab:6b:88,ec:1a:59:83:28:11,0.0286550521850585,1474553237.836611,1474553237.865266,348.9786001930309,2032,d3gjecg2uu2eaq.cloudfront.net,53.05976975826254
t62,,49153,4324,192.168.1.223,192.168.1.193,ec:1a:59:79:f4:89,ec:1a:59:83:28:11,0.0440621376037597,1474553237.8367,1474553237.880762,317.7331096802121,4740,d3gjecg2uu2eaq.cloudfront.net,21.2086563292827
t63,0xc014|0xc00a|0x0039|0x0038|0x0037|0x0036|0x0088|0x0087|0x0086|0x0085|0xc00f|0xc005|0x0035|0x0084|0xc013|0xc009|0x0033|0x0032|0x0031|0x0030|0x009a|0x0099|0x0098|0x0097|0x0045|0x0044|0x0043|0x0042|0xc00e|0xc004|0x002f|0x0096|0x0041|0x0007|0xc011|0xc007|0xc00c|0xc002|0x0005|0x0004|0xc012|0xc008|0x0016|0x0013|0x0010|0x000d|0xc00d|0xc003|0x000a|0x0015|0x0012|0x000f|0x000c|0x0009|0x00ff,443,53470,72.21.207.109,192.168.1.240,14:cc:20:51:33:ea,44:65:0d:56:cc:d3,34.00866913795471,1474553239.794395,1474553273.803064,0.8527237535336282,10238,www.example.org,19.65587708296208
t65,,43865,80,192.168.1.240,93.184.216.34,44:65:0d:56:cc:d3,14:cc:20:51:33:ea,0.3269329071044922,1474553245.721182,1474553246.048115,18.352389342325576,412,,86.60906642968537
t66,,43866,80,192.168.1.240,93.184.216.34,44:65:0d:56:cc:d3,14:cc:20:51:33:ea,0.3142890930175781,1474553245.885406,1474553246.199695,19.090703856097296,412,,86.60906642968537
t67,,43867,80,192.168.1.240,93.184.216.34,44:65:0d:56:cc:d3,14:cc:20:51:33:ea,0.309999942779541,1474553246.065206,1474553246.375206,19.35484228223536,412,,86.60906642968537
t70,,38974,80,192.168.1.249,104.98.5.24,00:16:6c:ab:6b:88,14:cc:20:51:33:ea,0.2056388854980468,1474553363.857278,1474553364.062917,48.6289350177157,1221,,53.05976975826254
t71,,465,56782,74.125.203.109,192.168.1.249,14:cc:20:51:33:ea,00:16:6c:ab:6b:88,10.525332927703856,1474553364.328316,1474553374.853649,0.6650620980905235,478,smtp.gmail.com,19.65587708296208
t73,,49153,4327,192.168.1.223,192.168.1.193,ec:1a:59:79:f4:89,ec:1a:59:83:28:11,0.0222470760345459,1474553400.863981,1474553400.886228,629.2961815863082,4740,d3gjecg2uu2eaq.cloudfront.net,21.2086563292827
t74,,49153,4330,192.168.1.223,192.168.1.193,ec:1a:59:79:f4:89,ec:1a:59:83:28:11,0.0350909233093261,1474553400.864115,1474553400.899206,398.963568914677,4740,d3gjecg2uu2eaq.cloudfront.net,21.2086563292827
t75,,49152,3185,192.168.1.249,192.168.1.193,00:16:6c:ab:6b:88,ec:1a:59:83:28:11,0.0268208980560302,1474553400.86763,1474553400.894451,372.8435930485799,2032,d3gjecg2uu2eaq.cloudfront.net,53.05976975826254
t76,,49153,4332,192.168.1.223,192.168.1.193,ec:1a:59:79:f4:89,ec:1a:59:83:28:11,0.0413849353790283,1474553401.038572,1474553401.079957,338.28734711748405,4740,d3gjecg2uu2eaq.cloudfront.net,21.2086563292827
t77,,49153,4333,192.168.1.223,192.168.1.193,ec:1a:59:79:f4:89,ec:1a:59:83:28:11,0.0459260940551757,1474553401.041687,1474553401.087613,304.8375937039268,4740,d3gjecg2uu2eaq.cloudfront.net,21.2086563292827
t78,,49153,4334,192.168.1.223,192.168.1.193,ec:1a:59:79:f4:89,ec:1a:59:83:28:11,0.0542669296264648,1474553401.041769,1474553401.096036,257.9840078730471,4740,d3gjecg2uu2eaq.cloudfront.net,21.2086563292827
t79,,49153,4335,192.168.1.223,192.168.1.193,ec:1a:59:79:f4:89,ec:1a:59:83:28:11,0.0608048439025878,1474553401.058494,1474553401.119299,230.24481441690128,4740,d3gjecg2uu2eaq.cloudfront.net,21.2086563292827
t80,,49152,3193,192.168.1.249,192.168.1.193,00:16:6c:ab:6b:88,ec:1a:59:83:28:11,0.0458810329437255,1474553401.059037,1474553401.104918,217.9549883339656,2032,d3gjecg2uu2eaq.cloudfront.net,53.05976975826254
t81,,49153,4338,192.168.1.223,192.168.1.193,ec:1a:59:79:f4:89,ec:1a:59:83:28:11,0.0280900001525878,1474553401.14837,1474553401.17646,498.398003700623,4740,d3gjecg2uu2eaq.cloudfront.net,21.2086563292827
t82,,49153,4339,192.168.1.223,192.168.1.193,ec:1a:59:79:f4:89,ec:1a:59:83:28:11,0.0273740291595459,1474553401.149163,1474553401.176537,511.4336628489309,4740,d3gjecg2uu2eaq.cloudfront.net,21.2086563292827
t83,,38976,80,192.168.1.249,104.98.5.24,00:16:6c:ab:6b:88,14:cc:20:51:33:ea,0.2126491069793701,1474553484.997257,1474553485.209906,47.025826452072224,1221,,53.05976975826254
t84,,465,48836,74.125.203.108,192.168.1.249,14:cc:20:51:33:ea,00:16:6c:ab:6b:88,10.460633039474487,1474553485.642755,1474553496.103388,0.6691755626628558,478,smtp.gmail.com,19.65587708296208
t85,,46143,80,192.168.1.166,89.30.121.150,00:24:e4:11:18:a8,14:cc:20:51:33:ea,1.1675260066986084,1474553494.242867,1474553495.410393,11.134655609736573,3005,,254.7380736965731
t86,,25050,25668,62.210.93.51,192.168.1.112,14:cc:20:51:33:ea,70:ee:50:03:b8:ac,3.1799979209899902,1474553503.266009,1474553506.446007,5.660381059116,1495,netcom.netatmo.net,19.65587708296208
t87,,55853,80,192.168.1.240,93.184.216.34,44:65:0d:56:cc:d3,14:cc:20:51:33:ea,0.2992188930511474,1474553545.707627,1474553546.006846,20.05220973454501,412,,86.60906642968537
t88,,55854,80,192.168.1.240,93.184.216.34,44:65:0d:56:cc:d3,14:cc:20:51:33:ea,0.3083930015563965,1474553545.87425,1474553546.182643,19.4556944214662,412,,86.60906642968537
t89,,55855,80,192.168.1.240,93.184.216.34,44:65:0d:56:cc:d3,14:cc:20:51:33:ea,0.3067190647125244,1474553546.051668,1474553546.358387,19.561874986882746,412,,86.60906642968537
t90,,49152,4344,192.168.1.249,192.168.1.193,00:16:6c:ab:6b:88,ec:1a:59:83:28:11,0.0372359752655029,1474553552.035494,1474553552.07273,268.55748852278475,2032,d3gjecg2uu2eaq.cloudfront.net,53.05976975826254
t91,,49153,4720,192.168.1.223,192.168.1.193,ec:1a:59:79:f4:89,ec:1a:59:83:28:11,0.0376369953155517,1474553552.039093,1474553552.07673,371.9744332038946,4740,d3gjecg2uu2eaq.cloudfront.net,21.2086563292827
t92,,49153,4722,192.168.1.223,192.168.1.193,ec:1a:59:79:f4:89,ec:1a:59:83:28:11,0.0245659351348876,1474553552.093028,1474553552.117594,569.8948533051234,4740,d3gjecg2uu2eaq.cloudfront.net,21.2086563292827
t93,,49152,4348,192.168.1.249,192.168.1.193,00:16:6c:ab:6b:88,ec:1a:59:83:28:11,0.0247659683227539,1474553552.093642,1474553552.118408,403.7798914089876,2032,d3gjecg2uu2eaq.cloudfront.net,53.05976975826254
t94,,49153,4724,192.168.1.223,192.168.1.193,ec:1a:59:79:f4:89,ec:1a:59:83:28:11,0.0293178558349609,1474553552.099522,1474553552.12884,477.5246893500748,4740,d3gjecg2uu2eaq.cloudfront.net,21.2086563292827
t95,,49153,4726,192.168.1.223,192.168.1.193,ec:1a:59:79:f4:89,ec:1a:59:83:28:11,0.0399441719055175,1474553552.318251,1474553552.358195,350.48917857441296,4740,d3gjecg2uu2eaq.cloudfront.net,21.2086563292827
t96,,49153,4728,192.168.1.223,192.168.1.193,ec:1a:59:79:f4:89,ec:1a:59:83:28:11,0.0476510524749755,1474553552.321141,1474553552.368792,293.8025347362944,4740,d3gjecg2uu2eaq.cloudfront.net,21.2086563292827
t97,,49153,4729,192.168.1.223,192.168.1.193,ec:1a:59:79:f4:89,ec:1a:59:83:28:11,0.0537970066070556,1474553552.323132,1474553552.376929,260.23752775426453,4740,d3gjecg2uu2eaq.cloudfront.net,21.2086563292827
t98,,49153,4730,192.168.1.223,192.168.1.193,ec:1a:59:79:f4:89,ec:1a:59:83:28:11,0.0256369113922119,1474553552.401297,1474553552.426934,546.0876228738293,4740,d3gjecg2uu2eaq.cloudfront.net,21.2086563292827
t99,,49153,4731,192.168.1.223,192.168.1.193,ec:1a:59:79:f4:89,ec:1a:59:83:28:11,0.0292160511016845,1474553552.403322,1474553552.432538,479.188647065064,4740,d3gjecg2uu2eaq.cloudfront.net,21.2086563292827
t100,,38978,80,192.168.1.249,104.98.5.24,00:16:6c:ab:6b:88,14:cc:20:51:33:ea,0.216761827468872,1474553664.693406,1474553664.910168,46.1335841128948,1221,,53.05976975826254
t101,,465,42029,64.233.188.108,192.168.1.249,14:cc:20:51:33:ea,00:16:6c:ab:6b:88,10.482326984405518,1474553665.396559,1474553675.878886,0.6677906547290358,478,smtp.gmail.com,19.65587708296208
t102,,49152,4359,192.168.1.249,192.168.1.193,00:16:6c:ab:6b:88,ec:1a:59:83:28:11,0.039963960647583,1474553697.247057,1474553697.287021,250.22544907857608,2032,d3gjecg2uu2eaq.cloudfront.net,53.05976975826254
t103,,49152,4360,192.168.1.249,192.168.1.193,00:16:6c:ab:6b:88,ec:1a:59:83:28:11,0.0276751518249511,1474553697.254387,1474553697.282062,361.3349644204759,2032,d3gjecg2uu2eaq.cloudfront.net,53.05976975826254
t104,,49153,4738,192.168.1.223,192.168.1.193,ec:1a:59:79:f4:89,ec:1a:59:83:28:11,0.0295360088348388,1474553697.465628,1474553697.495164,473.9976913700831,4740,d3gjecg2uu2eaq.cloudfront.net,21.2086563292827
t105,,49153,4739,192.168.1.223,192.168.1.193,ec:1a:59:79:f4:89,ec:1a:59:83:28:11,0.0510420799255371,1474553697.467782,1474553697.518824,274.2834935493213,4740,d3gjecg2uu2eaq.cloudfront.net,21.2086563292827
t106,,49153,4740,192.168.1.223,192.168.1.193,ec:1a:59:79:f4:89,ec:1a:59:83:28:11,0.0187880992889404,1474553697.529269,1474553697.548057,745.1525449538723,4740,d3gjecg2uu2eaq.cloudfront.net,21.2086563292827
t107,,49153,4741,192.168.1.223,192.168.1.193,ec:1a:59:79:f4:89,ec:1a:59:83:28:11,0.0239999294281005,1474553697.53808,1474553697.56208,583.335048627599,4740,d3gjecg2uu2eaq.cloudfront.net,21.2086563292827
t108,,80,53995,52.76.246.120,192.168.1.143,14:cc:20:51:33:ea,f4:f2:6d:93:51:f1,0.3629179000854492,1474553783.354911,1474553783.717829,30.309885506915045,1021,aps1-relay.tplinkcloud.com,19.65587708296208
t109,0xc030|0xc02c|0xc028|0xc024|0xc014|0xc00a|0x00a5|0x00a3|0x00a1|0x009f|0x006b|0x006a|0x0069|0x0068|0x0039|0x0038|0x0037|0x0036|0x0088|0x0087|0x0086|0x0085|0xc032|0xc02e|0xc02a|0xc026|0xc00f|0xc005|0x009d|0x003d|0x0035|0x0084|0xc02f|0xc02b|0xc027|0xc023|0xc013|0xc009|0x00a4|0x00a2|0x00a0|0x009e|0x0067|0x0040|0x003f|0x003e|0x0033|0x0032|0x0031|0x0030|0x009a|0x0099|0x0098|0x0097|0x0045|0x0044|0x0043|0x0042|0xc031|0xc02d|0xc029|0xc025|0xc00e|0xc004|0x009c|0x003c|0x002f|0x0096|0x0041|0x0007|0xc011|0xc007|0xc00c|0xc002|0x0005|0x0004|0xc012|0xc008|0x0016|0x0013|0x0010|0x000d|0xc00d|0xc003|0x000a|0x0015|0x0012|0x000f|0x000c|0x0009|0x00ff,38729,443,192.168.1.240,176.32.98.204,44:65:0d:56:cc:d3,14:cc:20:51:33:ea,4704.611829042435,1474553810.210083,1474558514.821912,0.1698333526833448,70128,,86.60906642968537
t110,,55857,80,192.168.1.240,93.184.216.34,44:65:0d:56:cc:d3,14:cc:20:51:33:ea,0.3007769584655761,1474553815.084693,1474553815.38547,19.948336570092348,412,,86.60906642968537
t111,,55858,80,192.168.1.240,93.184.216.34,44:65:0d:56:cc:d3,14:cc:20:51:33:ea,0.2987039089202881,1474553815.262666,1474553815.56137,23.434577824249413,478,,86.60906642968537
t112,,55859,80,192.168.1.240,93.184.216.34,44:65:0d:56:cc:d3,14:cc:20:51:33:ea,0.2982351779937744,1474553815.427096,1474553815.725331,20.11835102874836,412,,86.60906642968537
t113,,49152,4368,192.168.1.249,192.168.1.193,00:16:6c:ab:6b:88,ec:1a:59:83:28:11,0.0219590663909912,1474553820.463506,1474553820.485465,500.9320434730682,2098,d3gjecg2uu2eaq.cloudfront.net,53.05976975826254
t114,,49153,4744,192.168.1.223,192.168.1.193,ec:1a:59:79:f4:89,ec:1a:59:83:28:11,0.0298798084259033,1474553820.464204,1474553820.494084,468.543834031518,4740,d3gjecg2uu2eaq.cloudfront.net,21.2086563292827
t115,,49153,4746,192.168.1.223,192.168.1.193,ec:1a:59:79:f4:89,ec:1a:59:83:28:11,0.0367040634155273,1474553820.468821,1474553820.505525,381.4291578974719,4740,d3gjecg2uu2eaq.cloudfront.net,21.2086563292827
t116,,49152,4372,192.168.1.249,192.168.1.193,00:16:6c:ab:6b:88,ec:1a:59:83:28:11,0.0141220092773437,1474553820.538922,1474553820.553044,708.1145326850351,2032,d3gjecg2uu2eaq.cloudfront.net,53.05976975826254
